sentence,label
"I walked yesterday.",0
"She finished last night.",0
"They watched last weekend.",0
"We visited last month.",0
"He cooked yesterday.",0
"The kids played yesterday.",0
"She wrote last week.",0
"They traveled last summer.",0
"I lost yesterday.",0
"He painted last year.",0
"The teacher explained yesterday.",0
"We had a party last night.",0
"I met her last Friday.",0
"She ran yesterday.",0
"They celebrated last month.",0
"He fixed last weekend.",0
"We ate last night.",0
"She read last week.",0
"I visited last summer.",0
"They graduated last year.",0
"He bought last month.",0
"We went last Saturday.",0
"She cleaned last Wednesday.",0
"They went last night.",0
"He made last week.",0
"I watched yesterday.",0
"She got last month.",0
"They had lunch last Friday.",0
"He learned last summer.",0
"We stayed last winter.",0
"She enjoyed last year.",0
"They explored last weekend.",0
"He wrote last year.",0
"We had last Saturday.",0
"She visited last month.",0
"They saw last night.",0
"He organized last year.",0
"We played last Sunday.",0
"She attended last week.",0
"They spent last summer.",0
"He built last fall.",0
"I watched last week.",0
"She went last weekend.",0
"They had last month.",0
"He repaired last Sunday.",0
"We celebrated last year.",0
"She finished tonight.",1
"They are watching now.",1
"He is cooking now.",1
"We are visiting today.",1
"She is writing now.",1
"The kids are playing now.",1
"He is painting now.",1
"I am looking now.",1
"We are eating tonight.",1
"She is reading now.",1
"They are graduating this year.",1
"He is buying now.",1
"We are going tomorrow.",1
"She is cleaning now.",1
"They are going tonight.",1
"He is making now.",1
"I am watching now.",1
"She is getting now.",1
"They are having lunch this Friday.",1
"He is learning now.",1
"We are staying now.",1
"She is enjoying now.",1
"They are exploring now.",1
"He is writing now.",1
"We are having now.",1
"She is visiting now.",1
"They are seeing tonight.",1
"He is organizing now.",1
"We are playing now.",1
"She is attending now.",1
"They are spending now.",1
"He is building now.",1
"I am watching now.",1
"She is going now.",1
"They are having now.",1
"He is repairing now.",1
"We are celebrating now.",1
"She will walk tomorrow.",2
"They will watch next weekend.",2
"He will cook tomorrow.",2
"We will visit next month.",2
"She will write next week.",2
"The kids will play tomorrow.",2
"He will paint next year.",2
"I will look tomorrow.",2
"We will eat next night.",2
"She will read next week.",2
"They will graduate next year.",2
"He will buy next month.",2
"We will go next Saturday.",2
"She will clean next Wednesday.",2
"They will go next night.",2
"He will make next week.",2
"I will watch tomorrow.",2
"She will get next month.",2
"They will have lunch next Friday.",2
"He will learn next summer.",2
"We will stay next winter.",2
"She will enjoy next year.",2
"They will explore next weekend.",2
"He will write next year.",2
"We will have next Saturday.",2
"She will visit next month.",2
"They will see next night.",2
"He will organize next year.",2
"We will play next Sunday.",2
"She will attend next week.",2
"They will spend next summer.",2
"He will build next fall.",2
"I will watch next week.",2
"She will go next weekend.",2
"They will have next month.",2
"He will repair next Sunday.",2
"I walked to the store yesterday.",0
"She had finished her homework last night.",0
"They saw a movie last weekend.",0
"We visited the museum last month.",0
"He cooked dinner yesterday evening.",0
"The kids played in the park yesterday.",0
"She wrote a letter last week.",0
"They traveled to Paris last summer.",0
"I lost my keys yesterday.",0
"He painted the house last year.",0
"The teacher explained the lesson yesterday.",0
"We had a great time at the party last night.",0
"I met her at the airport last Friday.",0
"She ran five miles yesterday.",0
"They celebrated their anniversary last month.",0
"He fixed the car last weekend.",0
"We ate at a new restaurant last night.",0
"She read a fascinating book last week.",0
"I visited my grandparents last summer.",0
"They graduated from college last year.",0
"He bought a new phone last month.",0
"We went hiking last Saturday.",0
"She cleaned the house last Wednesday.",0
"They attended a concert last night.",0
"He made a cake for her birthday last week.",0
"I watched a documentary yesterday.",0
"She got a promotion last month.",0
"They had lunch together last Friday.",0
"He learned to swim last summer.",0
"We stayed at a cozy cabin last winter.",0
"She had a great time at the conference last year.",0
"They explored the city last weekend.",0
"He wrote a novel last year.",0
"We had a barbecue last Saturday.",0
"She visited her cousin last month.",0
"They saw a shooting star last night.",0
"He organized a charity event last year.",0
"We played board games last Sunday.",0
"She attended a workshop last week.",0
"They spent the day at the beach last summer.",0
"He built a treehouse last fall.",0
"I watched a movie with friends last week.",0
"She attended a wedding last weekend.",0
"They enjoyed a weekend getaway last month.",0
"He repaired the bike last Sunday.",0
"We celebrated New Year's Eve last year.",0
"She completed her project last night.",0
"They traveled to Italy last spring.",0
"He took a cooking class last summer.",0
"I met a celebrity last week.",0
"I am walking to the store now.",1
"She is finishing her homework.",1
"They are watching a movie.",1
"We are visiting the museum today.",1
"He is cooking dinner.",1
"The kids are playing in the park.",1
"She is writing a letter.",1
"They are traveling to Paris.",1
"I am looking for my keys.",1
"He is painting the house.",1
"The teacher is explaining the lesson.",1
"We are having a great time at the party.",1
"I am meeting her at the airport.",1
"She is running five miles.",1
"They are celebrating their anniversary.",1
"He is fixing the car.",1
"We are eating at a new restaurant.",1
"She is reading a fascinating book.",1
"I am visiting my grandparents.",1
"They are graduating from college.",1
"He is buying a new phone.",1
"We are going hiking.",1
"She is cleaning the house.",1
"They are attending a concert.",1
"He is making a cake.",1
"I am watching a documentary.",1
"She is getting a promotion.",1
"They are having lunch together.",1
"He is learning to swim.",1
"We are staying at a cozy cabin.",1
"She is having a great time at the conference.",1
"They are exploring the city.",1
"He is writing a novel.",1
"We are having a barbecue.",1
"She is visiting her cousin.",1
"They are watching the stars.",1
"He is organizing a charity event.",1
"We are playing board games.",1
"She is attending a workshop.",1
"They are spending the day at the beach.",1
"He is building a treehouse.",1
"I am watching a movie with friends.",1
"She is attending a wedding.",1
"They are enjoying a weekend getaway.",1
"He is repairing the bike.",1
"We are celebrating New Year's Eve.",1
"She is completing her project.",1
"They are traveling to Italy.",1
"He is taking a cooking class.",1
"I am meeting a celebrity.",1
"I will walk to the store tomorrow.",2
